"round","seed.1","name.1","link.1","score.1","games.1","win_pct.1","srs.1","sos.1","win_pct_home.1","win_pct_away.1","win_pct_conf.1","pts_pg.1","opp_pts_pg.1","fg_pg.1","fg_pct.1","fg3_pg.1","fg3_pct.1","ft_pg.1","ft_pct.1","orb_pg.1","trb_pg.1","ast_pg.1","stl_pg.1","blk_pg.1","tov_pg.1","pf_pg.1","seed.2","name.2","link.2","score.2","games.2","win_pct.2","srs.2","sos.2","win_pct_home.2","win_pct_away.2","win_pct_conf.2","pts_pg.2","opp_pts_pg.2","fg_pg.2","fg_pct.2","fg3_pg.2","fg3_pct.2","ft_pg.2","ft_pct.2","orb_pg.2","trb_pg.2","ast_pg.2","stl_pg.2","blk_pg.2","tov_pg.2","pf_pg.2","year","winner","point_diff"
1,1,"Duke","/cbb/schools/duke/men/2001.html",95,39,0.897,32.18,11.98,0.866666666666667,0.9,0.8125,90.7179487179487,70.5128205128205,31.2051282051282,0.481,10.4358974358974,0.385,17.8717948717949,0.696,13.7948717948718,38.5897435897436,17.974358974359,10.5384615384615,5.02564102564103,13.6153846153846,16.8974358974359,16,"Monmouth","/cbb/schools/monmouth/men/2001.html",52,31,0.677,-3.82,-8.86,0.833333333333333,0.533333333333333,0.75,70.3225806451613,65.2903225806452,24.3870967741935,0.454,6.48387096774194,0.353,15.0645161290323,0.689,9.67741935483871,34.0322580645161,14.1612903225806,9.03225806451613,3.38709677419355,15.1935483870968,16.6774193548387,2001,"team1",43
1,8,"Georgia","/cbb/schools/georgia/men/2001.html",68,31,0.516,12.72,12.75,0.692307692307692,0.416666666666667,0.5625,72.8064516129032,72.8387096774194,27.258064516129,0.464,4.58064516129032,0.345,13.7096774193548,0.672,12.8064516129032,38.4838709677419,15.1935483870968,6.29032258064516,4.80645161290323,15.6451612903226,18.3548387096774,9,"Missouri","/cbb/schools/missouri/men/2001.html",70,33,0.606,10.76,9.2,0.928571428571429,0.272727272727273,0.5625,75.5454545454545,72.7878787878788,25.6666666666667,0.42,8.45454545454546,0.38,15.7575757575758,0.701,14.1212121212121,38.1515151515151,12.6666666666667,7.81818181818182,4,15.0606060606061,20.5757575757576,2001,"team2",-2
1,5,"Ohio State","/cbb/schools/ohio-state/men/2001.html",68,31,0.645,15.68,8.16,0.823529411764706,0.555555555555556,0.6875,71.1612903225806,63.6451612903226,25,0.471,5.45161290322581,0.381,15.7096774193548,0.699,11.4516129032258,35.1612903225806,15.258064516129,5.19354838709677,5.16129032258065,15.1935483870968,19.5806451612903,12,"Utah State","/cbb/schools/utah-state/men/2001.html",77,34,0.824,9.99,-1.48,1,0.636363636363636,0.8125,70.7058823529412,57.6176470588235,25.0588235294118,0.485,5.88235294117647,0.39,14.7058823529412,0.673,10.8823529411765,34.6176470588235,15.0294117647059,6.47058823529412,3.88235294117647,14.2941176470588,17.0882352941176,2001,"team2",-9
1,4,"UCLA","/cbb/schools/ucla/men/2001.html",61,32,0.719,17.13,12.07,0.75,0.727272727272727,0.777777777777778,79.5,74.4375,28.1875,0.463,5.9375,0.355,17.1875,0.663,13.78125,38.09375,14.5,7.78125,3.96875,16.09375,20.9375,13,"Hofstra","/cbb/schools/hofstra/men/2001.html",48,31,0.839,5.12,-5.47,0.923076923076923,0.846153846153846,0.888888888888889,72.8064516129032,62.2258064516129,25.2903225806452,0.473,5.38709677419355,0.332,16.8387096774194,0.647,12.0322580645161,37.6129032258064,13.3548387096774,7.64516129032258,3.83870967741935,16.4838709677419,17.6451612903226,2001,"team1",13
1,6,"USC","/cbb/schools/southern-california/men/2001.html",69,34,0.706,16.54,10.84,0.8125,0.583333333333333,0.611111111111111,77.0588235294118,71.1764705882353,26.4117647058824,0.459,6.11764705882353,0.348,18.1176470588235,0.706,12.4117647058824,36.7647058823529,15.1176470588235,7.61764705882353,4.44117647058824,15.0588235294118,18.1470588235294,11,"Oklahoma State","/cbb/schools/oklahoma-state/men/2001.html",54,30,0.667,10.83,4.73,0.9375,0.363636363636364,0.625,70.9666666666667,64.5333333333333,25.5666666666667,0.464,4.3,0.327,15.5333333333333,0.633,12.1333333333333,37.9666666666667,13.5333333333333,8.03333333333333,3.83333333333333,16.8666666666667,18.9333333333333,2001,"team1",15
1,3,"Boston College","/cbb/schools/boston-college/men/2001.html",68,32,0.844,17.99,5.19,1,0.6,0.8125,79.59375,66.53125,27.46875,0.454,7.1875,0.353,17.46875,0.709,15.1875,36.4375,14.5,10.1875,3.03125,13.21875,20.375,14,"Southern Utah","/cbb/schools/southern-utah/men/2001.html",65,31,0.806,3.01,-3.42,1,0.642857142857143,0.8125,72.3548387096774,65,25.258064516129,0.489,6.35483870967742,0.4,15.4838709677419,0.713,10.8064516129032,32.1612903225806,14.9032258064516,10.3548387096774,2.80645161290323,15.1612903225806,19.7741935483871,2001,"team1",3
1,7,"Iowa","/cbb/schools/iowa/men/2001.html",69,35,0.657,14.25,10.71,0.75,0.454545454545455,0.4375,74.0857142857143,70.5428571428571,23.2857142857143,0.43,6,0.366,21.5142857142857,0.705,13.7714285714286,38.6,13.5428571428571,5.45714285714286,2.37142857142857,14.8571428571429,22.3714285714286,10,"Creighton","/cbb/schools/creighton/men/2001.html",56,32,0.75,12.41,3.01,1,0.583333333333333,0.777777777777778,72.65625,63.25,24.625,0.442,7.78125,0.359,15.625,0.702,11.15625,33.875,15.3125,9.15625,3.5625,13.3125,20.1875,2001,"team1",13
1,2,"Kentucky","/cbb/schools/kentucky/men/2001.html",72,34,0.706,20.32,11.12,0.916666666666667,0.5,0.75,79.7941176470588,70.5882352941177,29.0588235294118,0.482,7.20588235294118,0.346,14.4705882352941,0.655,13.6470588235294,38.5588235294118,15.8529411764706,6.73529411764706,4.44117647058824,15.0882352941176,18.5588235294118,15,"Holy Cross","/cbb/schools/holy-cross/men/2001.html",68,30,0.733,-0.31,-5.84,0.928571428571429,0.6,0.833333333333333,67.8,62.2666666666667,21.3333333333333,0.445,4.53333333333333,0.351,20.6,0.657,12.9333333333333,38.5,12.8333333333333,6.26666666666667,5.23333333333333,17.0666666666667,19.4333333333333,2001,"team1",4
2,1,"Duke","/cbb/schools/duke/men/2001.html",94,39,0.897,32.18,11.98,0.866666666666667,0.9,0.8125,90.7179487179487,70.5128205128205,31.2051282051282,0.481,10.4358974358974,0.385,17.8717948717949,0.696,13.7948717948718,38.5897435897436,17.974358974359,10.5384615384615,5.02564102564103,13.6153846153846,16.8974358974359,9,"Missouri","/cbb/schools/missouri/men/2001.html",81,33,0.606,10.76,9.2,0.928571428571429,0.272727272727273,0.5625,75.5454545454545,72.7878787878788,25.6666666666667,0.42,8.45454545454546,0.38,15.7575757575758,0.701,14.1212121212121,38.1515151515151,12.6666666666667,7.81818181818182,4,15.0606060606061,20.5757575757576,2001,"team1",13
2,12,"Utah State","/cbb/schools/utah-state/men/2001.html",50,34,0.824,9.99,-1.48,1,0.636363636363636,0.8125,70.7058823529412,57.6176470588235,25.0588235294118,0.485,5.88235294117647,0.39,14.7058823529412,0.673,10.8823529411765,34.6176470588235,15.0294117647059,6.47058823529412,3.88235294117647,14.2941176470588,17.0882352941176,4,"UCLA","/cbb/schools/ucla/men/2001.html",75,32,0.719,17.13,12.07,0.75,0.727272727272727,0.777777777777778,79.5,74.4375,28.1875,0.463,5.9375,0.355,17.1875,0.663,13.78125,38.09375,14.5,7.78125,3.96875,16.09375,20.9375,2001,"team2",-25
2,6,"USC","/cbb/schools/southern-california/men/2001.html",74,34,0.706,16.54,10.84,0.8125,0.583333333333333,0.611111111111111,77.0588235294118,71.1764705882353,26.4117647058824,0.459,6.11764705882353,0.348,18.1176470588235,0.706,12.4117647058824,36.7647058823529,15.1176470588235,7.61764705882353,4.44117647058824,15.0588235294118,18.1470588235294,3,"Boston College","/cbb/schools/boston-college/men/2001.html",71,32,0.844,17.99,5.19,1,0.6,0.8125,79.59375,66.53125,27.46875,0.454,7.1875,0.353,17.46875,0.709,15.1875,36.4375,14.5,10.1875,3.03125,13.21875,20.375,2001,"team1",3
2,7,"Iowa","/cbb/schools/iowa/men/2001.html",79,35,0.657,14.25,10.71,0.75,0.454545454545455,0.4375,74.0857142857143,70.5428571428571,23.2857142857143,0.43,6,0.366,21.5142857142857,0.705,13.7714285714286,38.6,13.5428571428571,5.45714285714286,2.37142857142857,14.8571428571429,22.3714285714286,2,"Kentucky","/cbb/schools/kentucky/men/2001.html",92,34,0.706,20.32,11.12,0.916666666666667,0.5,0.75,79.7941176470588,70.5882352941177,29.0588235294118,0.482,7.20588235294118,0.346,14.4705882352941,0.655,13.6470588235294,38.5588235294118,15.8529411764706,6.73529411764706,4.44117647058824,15.0882352941176,18.5588235294118,2001,"team2",-13
3,1,"Duke","/cbb/schools/duke/men/2001.html",76,39,0.897,32.18,11.98,0.866666666666667,0.9,0.8125,90.7179487179487,70.5128205128205,31.2051282051282,0.481,10.4358974358974,0.385,17.8717948717949,0.696,13.7948717948718,38.5897435897436,17.974358974359,10.5384615384615,5.02564102564103,13.6153846153846,16.8974358974359,4,"UCLA","/cbb/schools/ucla/men/2001.html",63,32,0.719,17.13,12.07,0.75,0.727272727272727,0.777777777777778,79.5,74.4375,28.1875,0.463,5.9375,0.355,17.1875,0.663,13.78125,38.09375,14.5,7.78125,3.96875,16.09375,20.9375,2001,"team1",13
3,6,"USC","/cbb/schools/southern-california/men/2001.html",80,34,0.706,16.54,10.84,0.8125,0.583333333333333,0.611111111111111,77.0588235294118,71.1764705882353,26.4117647058824,0.459,6.11764705882353,0.348,18.1176470588235,0.706,12.4117647058824,36.7647058823529,15.1176470588235,7.61764705882353,4.44117647058824,15.0588235294118,18.1470588235294,2,"Kentucky","/cbb/schools/kentucky/men/2001.html",76,34,0.706,20.32,11.12,0.916666666666667,0.5,0.75,79.7941176470588,70.5882352941177,29.0588235294118,0.482,7.20588235294118,0.346,14.4705882352941,0.655,13.6470588235294,38.5588235294118,15.8529411764706,6.73529411764706,4.44117647058824,15.0882352941176,18.5588235294118,2001,"team1",4
4,1,"Duke","/cbb/schools/duke/men/2001.html",79,39,0.897,32.18,11.98,0.866666666666667,0.9,0.8125,90.7179487179487,70.5128205128205,31.2051282051282,0.481,10.4358974358974,0.385,17.8717948717949,0.696,13.7948717948718,38.5897435897436,17.974358974359,10.5384615384615,5.02564102564103,13.6153846153846,16.8974358974359,6,"USC","/cbb/schools/southern-california/men/2001.html",69,34,0.706,16.54,10.84,0.8125,0.583333333333333,0.611111111111111,77.0588235294118,71.1764705882353,26.4117647058824,0.459,6.11764705882353,0.348,18.1176470588235,0.706,12.4117647058824,36.7647058823529,15.1176470588235,7.61764705882353,4.44117647058824,15.0588235294118,18.1470588235294,2001,"team1",10
1,1,"Illinois","/cbb/schools/illinois/men/2001.html",96,35,0.771,23.32,11.38,1,0.636363636363636,0.8125,77.8571428571429,65.9142857142857,26.5428571428571,0.454,7.05714285714286,0.364,17.7142857142857,0.705,13.6857142857143,40,15.7142857142857,7.68571428571429,4.17142857142857,14.9714285714286,22.0571428571429,16,"Northwestern State","/cbb/schools/northwestern-state/men/2001.html",54,32,0.594,-11.1,-7.81,0.727272727272727,0.470588235294118,0.55,71.625,74.90625,24,0.414,5.46875,0.318,18.15625,0.662,12.8125,36.8125,12.25,9.625,4.15625,16.78125,23.90625,2001,"team1",42
1,8,"Tennessee","/cbb/schools/tennessee/men/2001.html",63,33,0.667,15.54,10.32,0.8125,0.545454545454545,0.5,80.8484848484848,75.6363636363636,27.5454545454545,0.459,7.78787878787879,0.369,17.969696969697,0.68,12.7575757575758,39.4242424242424,16,7.03030303030303,5.78787878787879,16,21.5757575757576,9,"Charlotte","/cbb/schools/charlotte/men/2001.html",70,33,0.667,14.24,7.91,0.833333333333333,0.5,0.625,78.2727272727273,71.9393939393939,26.4545454545455,0.437,9.24242424242424,0.36,16.1212121212121,0.685,12.4545454545455,38.3939393939394,14.2727272727273,7,2.93939393939394,12.6666666666667,20.0909090909091,2001,"team2",-7
1,5,"Syracuse","/cbb/schools/syracuse/men/2001.html",79,34,0.735,11.15,5.82,0.882352941176471,0.444444444444444,0.625,72.7941176470588,67.4705882352941,26.0294117647059,0.436,5.44117647058824,0.335,15.2941176470588,0.715,13,35.6764705882353,16.0294117647059,9.55882352941176,5.97058823529412,12.9705882352941,20.0294117647059,12,"Hawaii","/cbb/schools/hawaii/men/2001.html",69,31,0.548,6.88,7.23,0.722222222222222,0.2,0.5,72.7096774193548,73.0645161290323,25.7096774193548,0.468,5.70967741935484,0.349,15.5806451612903,0.725,10.8064516129032,32.2258064516129,17.9677419354839,5.90322580645161,2.38709677419355,16.6451612903226,19.5161290322581,2001,"team1",10
1,4,"Kansas","/cbb/schools/kansas/men/2001.html",99,33,0.788,20.23,9.04,0.933333333333333,0.666666666666667,0.75,82.030303030303,69.2727272727273,30.3636363636364,0.502,5.54545454545455,0.394,15.7575757575758,0.659,13.4242424242424,42.6363636363636,19.4242424242424,6.57575757575758,5.15151515151515,16.1212121212121,19.6363636363636,13,"Cal State Northridge","/cbb/schools/cal-state-northridge/men/2001.html",75,32,0.688,5.95,0.25,0.928571428571429,0.571428571428571,0.8125,82.8125,75.28125,28.4375,0.494,6.78125,0.397,19.15625,0.709,11.65625,36.1875,19,8.34375,2.40625,15.28125,22.375,2001,"team1",24
1,6,"Notre Dame","/cbb/schools/notre-dame/men/2001.html",83,30,0.667,14.36,5.69,0.764705882352941,0.6,0.6875,77.9333333333333,69.2666666666667,27.1333333333333,0.462,7.3,0.384,16.3666666666667,0.688,12.3333333333333,40.4666666666667,17.5666666666667,6.63333333333333,5.93333333333333,14.4666666666667,16.7,11,"Xavier","/cbb/schools/xavier/men/2001.html",71,29,0.724,12.15,4.6,0.933333333333333,0.583333333333333,0.75,73.448275862069,65.8965517241379,24.3448275862069,0.427,6.13793103448276,0.303,18.6206896551724,0.703,13.4827586206897,38.7931034482759,13.7241379310345,7.17241379310345,3.96551724137931,14.3103448275862,19,2001,"team1",12
1,3,"Ole Miss","/cbb/schools/mississippi/men/2001.html",72,35,0.771,15.1,9.24,0.9375,0.6,0.6875,71.3142857142857,64.6285714285714,24.7142857142857,0.442,6.4,0.342,15.4857142857143,0.654,11.8857142857143,35.0571428571429,14.2857142857143,8.14285714285714,3.28571428571429,14.2857142857143,20.5428571428571,14,"Iona","/cbb/schools/iona/men/2001.html",70,33,0.667,0.25,-4.1,0.857142857142857,0.571428571428571,0.666666666666667,77.2424242424242,71.969696969697,27.6363636363636,0.481,4.81818181818182,0.383,17.1515151515152,0.689,11.4545454545455,37.5454545454545,14.5757575757576,7.84848484848485,5.54545454545455,16.8787878787879,21.7272727272727,2001,"team1",2
1,7,"Wake Forest","/cbb/schools/wake-forest/men/2001.html",63,30,0.633,20.53,10.5,0.8125,0.5,0.5,76.5333333333333,66.5,27.9333333333333,0.462,5.9,0.358,14.7666666666667,0.727,11.4,36.8,15.5,7.3,4.53333333333333,12.5,19.0666666666667,10,"Butler","/cbb/schools/butler/men/2001.html",79,32,0.75,12.55,3.98,0.928571428571429,0.538461538461538,0.785714285714286,69.625,60.8125,23.59375,0.46,7.84375,0.407,14.59375,0.716,9.53125,28.8125,12.125,6.9375,2.78125,11.78125,15.78125,2001,"team2",-16
1,2,"Arizona","/cbb/schools/arizona/men/2001.html",101,36,0.778,26.85,12.56,0.866666666666667,0.636363636363636,0.833333333333333,81.2777777777778,66.2777777777778,28.1944444444444,0.476,5.36111111111111,0.355,19.5277777777778,0.748,13.5277777777778,39.8055555555556,16.25,7.86111111111111,4.41666666666667,15.1666666666667,17.5,15,"Eastern Illinois","/cbb/schools/eastern-illinois/men/2001.html",76,31,0.677,0.99,-2.45,1,0.357142857142857,0.6875,82.7096774193548,78.6774193548387,29.5161290322581,0.474,7.41935483870968,0.394,16.258064516129,0.775,11.5806451612903,36.258064516129,16.5806451612903,6.35483870967742,3.74193548387097,13.7741935483871,18.6129032258065,2001,"team1",25
2,1,"Illinois","/cbb/schools/illinois/men/2001.html",79,35,0.771,23.32,11.38,1,0.636363636363636,0.8125,77.8571428571429,65.9142857142857,26.5428571428571,0.454,7.05714285714286,0.364,17.7142857142857,0.705,13.6857142857143,40,15.7142857142857,7.68571428571429,4.17142857142857,14.9714285714286,22.0571428571429,9,"Charlotte","/cbb/schools/charlotte/men/2001.html",61,33,0.667,14.24,7.91,0.833333333333333,0.5,0.625,78.2727272727273,71.9393939393939,26.4545454545455,0.437,9.24242424242424,0.36,16.1212121212121,0.685,12.4545454545455,38.3939393939394,14.2727272727273,7,2.93939393939394,12.6666666666667,20.0909090909091,2001,"team1",18
2,5,"Syracuse","/cbb/schools/syracuse/men/2001.html",58,34,0.735,11.15,5.82,0.882352941176471,0.444444444444444,0.625,72.7941176470588,67.4705882352941,26.0294117647059,0.436,5.44117647058824,0.335,15.2941176470588,0.715,13,35.6764705882353,16.0294117647059,9.55882352941176,5.97058823529412,12.9705882352941,20.0294117647059,4,"Kansas","/cbb/schools/kansas/men/2001.html",87,33,0.788,20.23,9.04,0.933333333333333,0.666666666666667,0.75,82.030303030303,69.2727272727273,30.3636363636364,0.502,5.54545454545455,0.394,15.7575757575758,0.659,13.4242424242424,42.6363636363636,19.4242424242424,6.57575757575758,5.15151515151515,16.1212121212121,19.6363636363636,2001,"team2",-29
2,6,"Notre Dame","/cbb/schools/notre-dame/men/2001.html",56,30,0.667,14.36,5.69,0.764705882352941,0.6,0.6875,77.9333333333333,69.2666666666667,27.1333333333333,0.462,7.3,0.384,16.3666666666667,0.688,12.3333333333333,40.4666666666667,17.5666666666667,6.63333333333333,5.93333333333333,14.4666666666667,16.7,3,"Ole Miss","/cbb/schools/mississippi/men/2001.html",59,35,0.771,15.1,9.24,0.9375,0.6,0.6875,71.3142857142857,64.6285714285714,24.7142857142857,0.442,6.4,0.342,15.4857142857143,0.654,11.8857142857143,35.0571428571429,14.2857142857143,8.14285714285714,3.28571428571429,14.2857142857143,20.5428571428571,2001,"team2",-3
2,10,"Butler","/cbb/schools/butler/men/2001.html",52,32,0.75,12.55,3.98,0.928571428571429,0.538461538461538,0.785714285714286,69.625,60.8125,23.59375,0.46,7.84375,0.407,14.59375,0.716,9.53125,28.8125,12.125,6.9375,2.78125,11.78125,15.78125,2,"Arizona","/cbb/schools/arizona/men/2001.html",73,36,0.778,26.85,12.56,0.866666666666667,0.636363636363636,0.833333333333333,81.2777777777778,66.2777777777778,28.1944444444444,0.476,5.36111111111111,0.355,19.5277777777778,0.748,13.5277777777778,39.8055555555556,16.25,7.86111111111111,4.41666666666667,15.1666666666667,17.5,2001,"team2",-21
3,1,"Illinois","/cbb/schools/illinois/men/2001.html",80,35,0.771,23.32,11.38,1,0.636363636363636,0.8125,77.8571428571429,65.9142857142857,26.5428571428571,0.454,7.05714285714286,0.364,17.7142857142857,0.705,13.6857142857143,40,15.7142857142857,7.68571428571429,4.17142857142857,14.9714285714286,22.0571428571429,4,"Kansas","/cbb/schools/kansas/men/2001.html",64,33,0.788,20.23,9.04,0.933333333333333,0.666666666666667,0.75,82.030303030303,69.2727272727273,30.3636363636364,0.502,5.54545454545455,0.394,15.7575757575758,0.659,13.4242424242424,42.6363636363636,19.4242424242424,6.57575757575758,5.15151515151515,16.1212121212121,19.6363636363636,2001,"team1",16
3,3,"Ole Miss","/cbb/schools/mississippi/men/2001.html",56,35,0.771,15.1,9.24,0.9375,0.6,0.6875,71.3142857142857,64.6285714285714,24.7142857142857,0.442,6.4,0.342,15.4857142857143,0.654,11.8857142857143,35.0571428571429,14.2857142857143,8.14285714285714,3.28571428571429,14.2857142857143,20.5428571428571,2,"Arizona","/cbb/schools/arizona/men/2001.html",66,36,0.778,26.85,12.56,0.866666666666667,0.636363636363636,0.833333333333333,81.2777777777778,66.2777777777778,28.1944444444444,0.476,5.36111111111111,0.355,19.5277777777778,0.748,13.5277777777778,39.8055555555556,16.25,7.86111111111111,4.41666666666667,15.1666666666667,17.5,2001,"team2",-10
4,1,"Illinois","/cbb/schools/illinois/men/2001.html",81,35,0.771,23.32,11.38,1,0.636363636363636,0.8125,77.8571428571429,65.9142857142857,26.5428571428571,0.454,7.05714285714286,0.364,17.7142857142857,0.705,13.6857142857143,40,15.7142857142857,7.68571428571429,4.17142857142857,14.9714285714286,22.0571428571429,2,"Arizona","/cbb/schools/arizona/men/2001.html",87,36,0.778,26.85,12.56,0.866666666666667,0.636363636363636,0.833333333333333,81.2777777777778,66.2777777777778,28.1944444444444,0.476,5.36111111111111,0.355,19.5277777777778,0.748,13.5277777777778,39.8055555555556,16.25,7.86111111111111,4.41666666666667,15.1666666666667,17.5,2001,"team2",-6
1,1,"Michigan State","/cbb/schools/michigan-state/men/2001.html",69,33,0.848,25.12,9.54,1,0.666666666666667,0.8125,77.3636363636364,61.7878787878788,29,0.489,4.42424242424242,0.322,14.9393939393939,0.719,15.5757575757576,42.5454545454545,17.5454545454545,6.36363636363636,4.03030303030303,13.6666666666667,18.5151515151515,16,"Alabama State","/cbb/schools/alabama-state/men/2001.html",35,31,0.71,-8.99,-13.74,0.846153846153846,0.615384615384615,0.833333333333333,68.8709677419355,63.8709677419355,24.3870967741935,0.441,5.32258064516129,0.326,14.7741935483871,0.658,12.4516129032258,37.9032258064516,13.2258064516129,8.38709677419355,3,16.4516129032258,16.1935483870968,2001,"team1",34
1,8,"California","/cbb/schools/california/men/2001.html",70,31,0.645,14.77,9.09,0.823529411764706,0.416666666666667,0.611111111111111,74.3225806451613,68.6451612903226,26.2258064516129,0.479,5.67741935483871,0.35,16.1935483870968,0.686,9.06451612903226,32.1935483870968,16.3870967741935,7.25806451612903,2.12903225806452,13.6774193548387,18.3870967741935,9,"Fresno State","/cbb/schools/fresno-state/men/2001.html",82,33,0.788,15.65,5.13,0.944444444444444,0.6,0.8125,81.4848484848485,70.969696969697,28.9090909090909,0.47,7.3030303030303,0.355,16.3636363636364,0.681,11.7878787878788,37.5757575757576,17.9393939393939,10,6.33333333333333,16.6969696969697,18.969696969697,2001,"team2",-12
1,5,"Virginia","/cbb/schools/virginia/men/2001.html",85,29,0.69,18.93,8.73,0.933333333333333,0.416666666666667,0.5625,84.9655172413793,74.7586206896552,29.3793103448276,0.455,7.03448275862069,0.369,19.1724137931034,0.736,15.0689655172414,39,14.4827586206897,7.62068965517241,3.37931034482759,13.7586206896552,20.3448275862069,12,"Gonzaga","/cbb/schools/gonzaga/men/2001.html",86,33,0.788,12.57,0.32,0.928571428571429,0.642857142857143,0.928571428571429,82.4242424242424,68.8484848484848,27.7272727272727,0.51,7.42424242424242,0.404,19.5454545454545,0.681,11.1818181818182,38.3333333333333,16.2727272727273,5.78787878787879,4.09090909090909,14.3030303030303,18.7575757575758,2001,"team2",-1
1,4,"Oklahoma","/cbb/schools/oklahoma/men/2001.html",68,33,0.788,15.56,5.5,0.928571428571429,0.5,0.75,74.3636363636364,64.3030303030303,26.030303030303,0.446,7.33333333333333,0.381,14.969696969697,0.74,12.7272727272727,35.8787878787879,13.4545454545455,8.51515151515152,2.75757575757576,12.7272727272727,21.3939393939394,13,"Indiana State","/cbb/schools/indiana-state/men/2001.html",70,34,0.647,6.97,2.51,0.857142857142857,0.384615384615385,0.555555555555556,72.9117647058823,67.7941176470588,25.3235294117647,0.46,6.26470588235294,0.359,16,0.705,9.82352941176471,31.4411764705882,15.3235294117647,6.97058823529412,2.94117647058824,11.8235294117647,16.9411764705882,2001,"team2",-2
1,6,"Texas","/cbb/schools/texas/men/2001.html",65,34,0.735,14.25,8.89,0.941176470588235,0.545454545454545,0.75,70.4705882352941,65.0294117647059,24.0882352941176,0.412,6.32352941176471,0.343,15.9705882352941,0.65,14.2058823529412,39.5882352941176,12.1764705882353,7.88235294117647,5.61764705882353,14.7647058823529,22.6764705882353,11,"Temple","/cbb/schools/temple/men/2001.html",79,37,0.649,16.2,9.77,0.705882352941177,0.571428571428571,0.75,70.3783783783784,63.9459459459459,25.027027027027,0.427,7.59459459459459,0.345,12.7297297297297,0.7,13.3513513513514,35.7297297297297,11.2432432432432,7.2972972972973,3.72972972972973,8.2972972972973,15.8108108108108,2001,"team2",-14
1,3,"Florida","/cbb/schools/florida/men/2001.html",69,31,0.774,21.36,7.55,0.875,0.727272727272727,0.75,80.9354838709677,67.1290322580645,27.3870967741935,0.481,8.25806451612903,0.383,17.9032258064516,0.729,10.2903225806452,36.9354838709677,17.3548387096774,8.74193548387097,3.67741935483871,14.5483870967742,19,14,"Western Kentucky","/cbb/schools/western-kentucky/men/2001.html",56,31,0.774,8.69,-1.63,0.866666666666667,0.692307692307692,0.875,74.2903225806452,60.9354838709677,26.1935483870968,0.454,6.87096774193548,0.352,15.0322580645161,0.691,14.2258064516129,40,14.5806451612903,7.93548387096774,5,14.6129032258065,18.9677419354839,2001,"team1",13
1,7,"Penn State","/cbb/schools/penn-state/men/2001.html",69,33,0.636,12.43,10.55,0.714285714285714,0.454545454545455,0.4375,76.8181818181818,74.9393939393939,25.3030303030303,0.426,8.42424242424242,0.367,17.7878787878788,0.764,10.5757575757576,32.3939393939394,14.5757575757576,8.45454545454546,3.54545454545455,12.3333333333333,19.9090909090909,10,"Providence","/cbb/schools/providence/men/2001.html",59,31,0.677,13.74,5.44,0.8125,0.727272727272727,0.6875,76.0967741935484,66.0967741935484,26,0.446,8.03225806451613,0.4,16.0645161290323,0.719,12.6129032258065,36.4193548387097,16.3225806451613,9.2258064516129,5.54838709677419,15.0645161290323,20.7741935483871,2001,"team1",10
1,2,"UNC","/cbb/schools/north-carolina/men/2001.html",70,33,0.788,19.95,11.77,0.857142857142857,0.727272727272727,0.8125,79.1212121212121,70.9393939393939,28.6363636363636,0.479,5.72727272727273,0.364,16.1212121212121,0.67,12.4545454545455,41.3030303030303,17.4545454545455,7.39393939393939,5.57575757575758,15.6969696969697,17.4545454545455,15,"Princeton","/cbb/schools/princeton/men/2001.html",48,27,0.593,-2.53,-1.88,0.9,0.461538461538462,0.785714285714286,57.8518518518519,58.1111111111111,20,0.449,8.07407407407407,0.352,9.77777777777778,0.727,6.44444444444444,25.6296296296296,14.1851851851852,6.66666666666667,2.25925925925926,12.5925925925926,16.8888888888889,2001,"team1",22
2,1,"Michigan State","/cbb/schools/michigan-state/men/2001.html",81,33,0.848,25.12,9.54,1,0.666666666666667,0.8125,77.3636363636364,61.7878787878788,29,0.489,4.42424242424242,0.322,14.9393939393939,0.719,15.5757575757576,42.5454545454545,17.5454545454545,6.36363636363636,4.03030303030303,13.6666666666667,18.5151515151515,9,"Fresno State","/cbb/schools/fresno-state/men/2001.html",65,33,0.788,15.65,5.13,0.944444444444444,0.6,0.8125,81.4848484848485,70.969696969697,28.9090909090909,0.47,7.3030303030303,0.355,16.3636363636364,0.681,11.7878787878788,37.5757575757576,17.9393939393939,10,6.33333333333333,16.6969696969697,18.969696969697,2001,"team1",16
2,12,"Gonzaga","/cbb/schools/gonzaga/men/2001.html",85,33,0.788,12.57,0.32,0.928571428571429,0.642857142857143,0.928571428571429,82.4242424242424,68.8484848484848,27.7272727272727,0.51,7.42424242424242,0.404,19.5454545454545,0.681,11.1818181818182,38.3333333333333,16.2727272727273,5.78787878787879,4.09090909090909,14.3030303030303,18.7575757575758,13,"Indiana State","/cbb/schools/indiana-state/men/2001.html",68,34,0.647,6.97,2.51,0.857142857142857,0.384615384615385,0.555555555555556,72.9117647058823,67.7941176470588,25.3235294117647,0.46,6.26470588235294,0.359,16,0.705,9.82352941176471,31.4411764705882,15.3235294117647,6.97058823529412,2.94117647058824,11.8235294117647,16.9411764705882,2001,"team1",17
